School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Accountability Information,Accountability Percentile (1-99)
Innovation Academy Charter (District): Innovation Academy Charter School,04350305,Charter School,Tyngsboro,MA,01879,"05,06,07,08,09,10,11,12",Innovation Academy Charter (District),04350000,Charter District,       0,       0,       0,       0,       0,       0,     100,     100,     100,     100,     113,      95,      87,      81,       0,     776,      77,   9.9,      23,   3.0,     183,  23.6,     343,  44.2, , ,7.7,8.9,11.0,66.0,0.4,0.0,6.1,47.4,52.1,0.5,     426,18.4,        772,67.3,88.3,  11.5 to 1,73.2,83.0,77.2,87.0,88.5,5.7,0.0,1.1,4.6,0.0,     376,5.0,1.3,79.0,68.0,86.1,      10,      14,6.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,       7,28.6,71.4,29.0,638.0,650.0,         166,          86,51.8,         169,43.0,          17,4.0,         152,39.0,         169,43.0,          55,14.0,         393,98.0,495.0,43.0,         361,52.0,         137,35.0,          10,3.0,         127,32.0,         214,54.0,          44,11.0,         395,99.0,493.0,42.0,         364,49.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",72.0
Institutional Schools: Central Area,03700012,Public School,Westborough,MA,01581,"01,02,03,04,05,06,07,08,09,10,11,12",Institutional Schools,03700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional Schools: East Area,03700040,Public School,Westborough,MA,01581,"01,02,03,04,05,06,07,08,09,10,11,12",Institutional Schools,03700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional Schools: Pappas Rehabilitation Hospital for Children,03700026,Public School,Canton,MA,02021,"01,02,03,04,05,06,07,08,09,10,11,12",Institutional Schools,03700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional Schools: Southeast Area,03700015,Public School,Westborough,MA,01581,"01,02,03,04,05,06,07,08,09,10,11,12",Institutional Schools,03700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional Schools: West Area,03700013,Public School,Westborough,MA,01581,"01,02,03,04,05,06,07,08,09,10,11,12",Institutional Schools,03700000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipswich: Ipswich High,01440505,Public School,Ipswich,MA,01938,"09,10,11,12",Ipswich,01440000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     131,     131,     125,     136,       5,     528,      25,   4.7,       5,   0.9,      72,  13.6,     146,  27.7, , ,1.5,1.5,6.3,86.6,0.2,0.0,4.0,47.2,52.7,0.2,     390,11.7,        528,49.0,100.0,  10.8 to 1,89.6,95.9,90.0,139.0,92.8,2.9,0.7,0.7,2.9,0.0,     523,3.0,0.6,129.0,129.0,100.0,     121,     278,43.0,31.0,26.0,13.0,8.0,8.0,22.0,87.0,68.0,      93,10.8,89.2,126.0,598.0,585.0,         260,         170,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",63.0
Ipswich: Ipswich Middle School,01440305,Public School,Ipswich,MA,01938,"06,07,08",Ipswich,01440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     117,     119,     124,       0,       0,       0,       0,       0,     360,      22,   6.1,       5,   1.4,      67,  18.6,     114,  31.7, , ,1.1,1.9,7.5,85.8,0.0,0.0,3.6,48.9,50.3,0.8,     201,20.4,        367,37.5,100.0,   9.6 to 1,92.0,94.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         214,61.0,          63,18.0,         151,43.0,         104,30.0,          32,9.0,         350,99.0,507.0,61.0,         331,88.0,         201,57.0,          33,9.0,         168,48.0,         133,38.0,          17,5.0,         351,99.0,504.0,59.0,         332,82.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",87.0
Ipswich: Paul F Doyon Memorial,01440007,Public School,Ipswich,MA,01938,"PK,K,01,02,03,04,05",Ipswich,01440000,Public School District,       0,      59,      52,      51,      59,      65,      62,       0,       0,       0,       0,       0,       0,       0,       0,     348,      18,   5.2,       8,   2.3,      69,  19.8,     113,  32.5, , ,0.3,0.9,6.3,89.4,0.6,0.0,2.6,49.1,50.9,0.0,     176,19.4,        354,33.3,97.0,  10.5 to 1,82.0,100.0,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          86,46.0,           8,4.0,          78,42.0,          86,46.0,          13,7.0,         185,100.0,499.0,47.0,         122,66.0,          83,45.0,          10,5.0,          73,40.0,          83,45.0,          18,10.0,         184,100.0,497.0,49.0,         122,61.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",62.0
Ipswich: Winthrop,01440015,Public School,Ipswich,MA,01938,"PK,K,01,02,03,04,05",Ipswich,01440000,Public School District,      37,      68,      51,      60,      47,      68,      61,       0,       0,       0,       0,       0,       0,       0,       0,     392,      31,   7.9,      12,   3.1,      82,  20.9,     161,  41.1, , ,0.5,0.8,10.2,82.9,0.0,0.0,5.6,50.3,49.7,0.0,     196,19.8,        406,37.4,97.3,  10.5 to 1,86.6,97.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          93,54.0,           9,5.0,          84,49.0,          72,42.0,           7,4.0,         172,100.0,502.0,47.0,         121,77.0,          79,46.0,           6,3.0,          73,42.0,          81,47.0,          12,7.0,         172,100.0,499.0,42.0,         121,65.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",74.0
KIPP Academy Boston Charter School (District): KIPP Academy Boston Charter School,04630205,Charter School,Mattapan,MA,02126,"K,01,02,03,04,05,06,07,08",KIPP Academy Boston Charter School (District),04630000,Charter District,       0,      63,      71,      70,      71,      72,      65,      66,      61,      61,       0,       0,       0,       0,       0,     600,     297,  49.5,     110,  18.3,     117,  19.5,     527,  87.8, , ,63.8,0.0,33.5,0.3,0.5,0.2,1.7,51.8,48.2,0.0,     135,32.6,        611,48.5,63.9,  12.4 to 1,35.1,85.6,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          83,22.0,           0,0.0,          83,22.0,         192,50.0,         107,28.0,         382,99.0,484.0,51.0,         253,17.0,          76,20.0,           5,1.0,          71,19.0,         210,55.0,          96,25.0,         382,99.0,483.0,55.0,         247,20.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",27.0
KIPP Academy Lynn Charter (District): KIPP Academy Lynn Charter School,04290010,Charter School,Lynn,MA,01902,"K,01,02,03,04,05,06,07,08,09,10,11,12",KIPP Academy Lynn Charter (District),04290000,Charter District,       0,     128,     124,     124,     124,     125,     128,     128,     124,     124,     130,     128,     113,     114,       0,"   1,614","   1,306",  80.9,     215,  13.3,     186,  11.5,"   1,280",  79.3, , ,17.5,3.3,70.9,5.5,0.2,0.1,2.5,49.9,50.0,0.1,     518,24.5,"      1,617",110.2,59.8,  14.6 to 1,37.6,89.8,34.4,119.0,95.0,1.7,0.0,0.0,3.4,0.0,     485,3.0,0.6,114.0,114.0,100.0,     161,     260,99.0,37.0,14.0,10.0,1.0,139.0,63.0,39.0,15.0,       4,77.7,22.3,6.0,,,         226,         188,83.2,         239,32.0,           7,1.0,         232,31.0,         392,53.0,         114,15.0,         745,99.0,490.0,52.0,         401,33.0,         253,34.0,          21,3.0,         232,31.0,         390,53.0,          97,13.0,         740,99.0,492.0,58.0,         396,46.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",70.0
King Philip: King Philip Middle School,06900510,Public School,Norfolk,MA,02056,"07,08",King Philip,06900000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     317,     395,       0,       0,       0,       0,       0,     712,      26,   3.7,       2,   0.3,     144,  20.2,     233,  32.7, , ,1.7,2.7,5.6,85.7,0.3,0.0,4.1,52.4,47.3,0.3,     469,15.9,        721,51.8,98.1,  13.8 to 1,77.1,95.8,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         340,49.0,          37,5.0,         303,44.0,         283,41.0,          72,10.0,         695,99.0,499.0,43.0,         666,64.0,         332,48.0,          46,7.0,         286,41.0,         301,43.0,          60,9.0,         693,99.0,499.0,45.0,         660,66.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",51.0
King Philip: King Philip Regional High,06900505,Public School,Wrentham,MA,02093,"09,10,11,12",King Philip,06900000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     271,     298,     267,     320,       6,"   1,162",      20,   1.7,       4,   0.3,     157,  13.5,     273,  23.5, , ,2.7,3.2,4.2,87.3,0.2,0.0,2.4,49.7,50.2,0.1,     486,17.0,"      1,172",83.3,97.6,  13.9 to 1,84.4,95.4,92.8,332.0,94.9,1.5,0.3,0.0,3.3,0.0,"   1,156",16.0,1.4,315.0,315.0,100.0,     416,     959,154.0,104.0,75.0,50.0,33.0,110.0,178.0,303.0,208.0,     160,30.0,70.0,291.0,591.0,578.0,         587,         494,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low participation rate,74.0
Kingston: Kingston Elementary,01450005,Public School,Kingston,MA,02364,"PK,K,01,02",Kingston,01450000,Public School District,       0,     157,     148,     152,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     457,      24,   5.3,      22,   4.8,      63,  13.8,     156,  34.1, , ,0.7,0.9,4.6,92.6,0.2,0.2,0.9,50.5,49.5,0.0,     150,21.9,        464,28.7,100.0,  15.9 to 1,96.5,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Kingston: Kingston Intermediate,01450020,Public School,Kingston,MA,02364,"03,04,05,06",Kingston,01450000,Public School District,       0,       0,       0,       0,     149,     144,     136,     161,       0,       0,       0,       0,       0,       0,       0,     590,      25,   4.2,      20,   3.4,     119,  20.2,     222,  37.6, , ,0.3,0.3,2.7,95.1,0.3,0.0,1.2,51.2,48.8,0.0,     238,21.0,        591,39.9,100.0,  14.8 to 1,95.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         259,45.0,          32,6.0,         227,40.0,         247,43.0,          66,12.0,         572,99.0,497.0,48.0,         418,58.0,         281,49.0,          22,4.0,         259,45.0,         236,41.0,          60,10.0,         577,99.0,498.0,51.0,         420,62.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",57.0
Lawrence: Alexander B Bruce,01490015,Public School,Lawrence,MA,01841,"03,04,05,06,07,08",Lawrence,01490000,Public School District,       0,       0,       0,       0,      56,      60,      66,      86,      91,      92,       0,       0,       0,       0,       0,     451,     363,  80.5,     190,  42.1,      73,  16.2,     437,  96.9, , ,1.3,1.6,93.6,3.1,0.0,0.0,0.4,50.8,49.0,0.2,     205,20.1,        458,45.7,94.5,   9.9 to 1,66.1,86.9,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          66,16.0,           2,0.0,          64,16.0,         185,45.0,         157,38.0,         408,99.0,478.0,48.0,         330,6.0,          58,14.0,           6,1.0,          52,13.0,         199,49.0,         150,37.0,         407,100.0,478.0,50.0,         326,10.0,Low student group performance,6.0
Lawrence: Arlington Elementary,01490009,Public School,Lawrence,MA,01841,"PK,K,01,02,03,04",Lawrence,01490000,Public School District,       0,      98,     111,     108,     126,     121,       0,       0,       0,       0,       0,       0,       0,       0,       0,     564,     473,  83.9,     335,  59.4,      55,   9.8,     552,  97.9, , ,1.2,0.0,96.1,2.5,0.0,0.2,0.0,49.8,49.1,1.1,     122,23.4,        575,60.0,98.3,   9.4 to 1,75.0,98.3,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          23,10.0,           1,0.0,          22,10.0,          97,43.0,         105,47.0,         225,99.0,474.0,34.0,         105,3.0,          14,6.0,           1,0.0,          13,6.0,          82,36.0,         129,57.0,         225,100.0,467.0,42.0,         105,2.0,Low student group performance,7.0
Lawrence: Arlington Middle School,01490017,Public School,Lawrence,MA,01841,"05,06,07,08",Lawrence,01490000,Public School District,       0,       0,       0,       0,       0,       0,     115,     150,     151,     147,       0,       0,       0,       0,       0,     563,     455,  80.8,     224,  39.8,      91,  16.2,     552,  98.0, , ,0.5,0.0,97.3,1.6,0.2,0.0,0.4,50.4,49.4,0.2,     279,25.6,        596,45.0,100.0,  12.5 to 1,71.1,86.7,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          58,11.0,           5,1.0,          53,10.0,         224,42.0,         246,47.0,         528,99.0,473.0,42.0,         506,3.0,          58,11.0,           2,0.0,          56,11.0,         282,54.0,         187,35.0,         527,99.0,477.0,45.0,         505,10.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",4.0
Lawrence: Edward F. Parthum,01490053,Public School,Lawrence,MA,01841,"K,01,02,03,04",Lawrence,01490000,Public School District,       0,     106,     134,     138,     150,     140,       0,       0,       0,       0,       0,       0,       0,       0,       0,     668,     411,  61.5,     218,  32.6,     120,  18.0,     622,  93.1, , ,1.5,0.0,94.8,3.4,0.0,0.0,0.3,52.4,47.3,0.3,     223,21.8,        683,46.0,100.0,  14.5 to 1,80.4,91.3,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          62,23.0,           4,1.0,          58,21.0,         135,49.0,          77,28.0,         274,100.0,484.0,45.0,         125,17.0,          61,22.0,           4,1.0,          57,21.0,         136,50.0,          76,28.0,         273,100.0,484.0,50.0,         123,23.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",16.0
Lawrence: Emily G Wetherbee,01490080,Public School,Lawrence,MA,01843,"K,01,02,03,04,05,06,07,08",Lawrence,01490000,Public School District,       0,      40,      49,      61,      54,      63,      72,      64,      56,      70,       0,       0,       0,       0,       0,     529,     342,  64.7,     168,  31.8,     112,  21.2,     495,  93.6, , ,0.9,1.1,93.8,3.8,0.0,0.0,0.4,50.1,49.7,0.2,     206,19.4,        535,59.0,100.0,   9.0 to 1,76.3,91.5,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          61,17.0,           3,1.0,          58,16.0,         187,53.0,         106,30.0,         354,99.0,481.0,48.0,         288,11.0,          71,20.0,           4,1.0,          67,19.0,         188,53.0,          95,27.0,         354,99.0,483.0,51.0,         288,21.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",22.0
Lawrence: Francis M Leahy,01490040,Public School,Lawrence,MA,01840,"01,02,03,04,05",Lawrence,01490000,Public School District,       0,       0,      79,      78,      78,      75,      86,       0,       0,       0,       0,       0,       0,       0,       0,     396,     318,  80.3,     183,  46.2,      51,  12.9,     384,  97.0, , ,0.5,0.0,97.7,1.8,0.0,0.0,0.0,54.5,45.5,0.0,     111,20.6,        411,35.0,97.1,  11.3 to 1,77.1,88.6,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          26,12.0,           0,0.0,          26,12.0,         128,58.0,          65,30.0,         219,99.0,479.0,51.0,         136,7.0,          13,6.0,           0,0.0,          13,6.0,          91,41.0,         117,53.0,         221,100.0,468.0,37.0,         141,3.0,Low student group performance,6.0
Lawrence: Frost Middle School,01490525,Public School,Lawrence,MA,01843,"05,06,07,08",Lawrence,01490000,Public School District,       0,       0,       0,       0,       0,       0,     122,     137,     135,     134,       0,       0,       0,       0,       0,     528,     307,  58.1,     109,  20.6,     119,  22.5,     468,  88.6, , ,1.9,1.5,88.8,6.6,0.0,0.0,1.1,50.2,49.8,0.0,     200,24.7,        547,31.5,100.0,  16.8 to 1,90.5,90.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         130,26.0,          12,2.0,         118,24.0,         202,40.0,         167,33.0,         499,99.0,484.0,54.0,         465,17.0,         119,24.0,           2,0.0,         117,23.0,         253,51.0,         126,25.0,         498,99.0,485.0,53.0,         466,24.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",31.0
Lawrence: Gerard A. Guilmette,01490022,Public School,Lawrence,MA,01841,"01,02,03,04",Lawrence,01490000,Public School District,       0,       0,     126,      92,     119,     139,       0,       0,       0,       0,       0,       0,       0,       0,       0,     476,     332,  69.7,     191,  40.1,      79,  16.6,     443,  93.1, , ,1.7,1.1,94.7,2.5,0.0,0.0,0.0,53.2,46.8,0.0,     179,20.8,        480,48.0,100.0,   9.9 to 1,56.3,89.6,92.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          22,10.0,           0,0.0,          22,10.0,          94,41.0,         113,49.0,         229,97.0,472.0,35.0,         114,2.0,          11,5.0,           0,0.0,          11,5.0,          74,32.0,         146,63.0,         231,99.0,464.0,29.0,         117,2.0,Low student group performance,1.0
Lawrence: Guilmette Middle School,01490025,Public School,Lawrence,MA,01841,"05,06,07,08",Lawrence,01490000,Public School District,       0,       0,       0,       0,       0,       0,     114,     114,     126,     142,       0,       0,       0,       0,       0,     496,     356,  71.8,     172,  34.7,     116,  23.4,     469,  94.6, , ,2.4,1.0,94.6,1.4,0.0,0.0,0.6,54.6,45.4,0.0,     213,16.9,        482,56.0,98.2,   8.9 to 1,76.8,87.5,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          87,19.0,           3,1.0,          84,19.0,         177,40.0,         183,41.0,         447,99.0,479.0,54.0,         425,8.0,          66,15.0,           2,0.0,          64,14.0,         229,51.0,         152,34.0,         447,100.0,479.0,55.0,         426,13.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",20.0
Lawrence: High School Learning Center,01490536,Public School,Lawrence,MA,01843,"09,10,11,12",Lawrence,01490000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       2,      10,      25,     171,       0,     208,     171,  82.2,     117,  56.3,      31,  14.9,     197,  94.7, , ,0.0,0.0,95.7,3.8,0.0,0.0,0.5,66.8,33.2,0.0,      55,14.8,        176,15.6,100.0,  13.3 to 1,93.6,84.6,100.0,220.0,71.4,25.0,0.9,0.0,2.7,0.0,     208,10.0,4.8,216.0,213.0,98.6,,,,,,,,,,,,,,,,,,         179,          21,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Lawrence: James F Hennessey,01490020,Public School,Lawrence,MA,01841,"PK,K,01,02",Lawrence,01490000,Public School District,      94,      71,      78,      69,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     312,     237,  76.0,     171,  54.8,      90,  28.8,     303,  97.1, , ,1.9,1.0,94.2,2.2,0.0,0.0,0.6,53.8,46.2,0.0,      83,11.5,        319,32.0,93.8,   9.8 to 1,77.3,96.9,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Lawrence: John Breen School,01490003,Public School,Lawrence,MA,01843,"PK,K",Lawrence,01490000,Public School District,     150,     102,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     252,     142,  56.3,      58,  23.0,      88,  34.9,     232,  92.1, , ,2.4,0.8,89.3,7.1,0.0,0.0,0.4,50.4,49.6,0.0,     103,11.1,        306,21.0,100.0,  12.0 to 1,78.6,95.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Lawrence: John K Tarbox,01490075,Public School,Lawrence,MA,01841,"01,02,03,04,05",Lawrence,01490000,Public School District,       0,       0,      61,      45,      54,      62,      52,       0,       0,       0,       0,       0,       0,       0,       0,     274,     202,  73.7,     111,  40.5,      32,  11.7,     265,  96.7, , ,1.1,0.4,96.4,1.8,0.0,0.0,0.4,56.2,43.8,0.0,      75,18.6,        280,26.0,100.0,  10.5 to 1,73.1,100.0,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          24,15.0,           1,1.0,          23,14.0,          73,45.0,          64,40.0,         161,100.0,477.0,47.0,         107,6.0,          35,22.0,           1,1.0,          34,21.0,          79,49.0,          46,29.0,         160,99.0,482.0,54.0,         106,19.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",15.0
Lawrence: Lawlor Early Childhood Center,01490002,Public School,Lawrence,MA,01841,"PK,K",Lawrence,01490000,Public School District,       0,     133,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     133,      81,  60.9,      29,  21.8,      10,   7.5,     127,  95.5, , ,1.5,0.0,94.0,2.3,0.0,0.0,2.3,45.1,54.9,0.0,      32,20.5,        170,12.1,100.0,  11.0 to 1,57.6,83.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Lawrence: Lawrence Family Public Academy,01490011,Public School,Lawrence,MA,01841,"PK,K",Lawrence,01490000,Public School District,      60,     102,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     162,     109,  67.3,      66,  40.7,      29,  17.9,     144,  88.9, , ,2.5,3.1,90.7,2.5,0.0,0.6,0.6,55.6,44.4,0.0,      54,16.5,        202,14.0,92.9,  11.6 to 1,92.9,100.0,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Lawrence: Lawrence High School,01490515,Public School,Lawrence,MA,01843,"09,10,11,12",Lawrence,01490000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     830,     760,     764,     712,      31,"   3,097","   2,390",  77.2,"   1,080",  34.9,     483,  15.6,"   2,866",  92.5, , ,1.5,1.5,93.9,2.6,0.0,0.0,0.4,51.9,47.9,0.3,"   1,548",17.3,"      2,935",239.7,96.9,  12.9 to 1,73.0,80.1,91.0,618.0,88.8,2.8,0.3,0.3,7.8,0.0,"   3,066",36.0,1.2,592.0,592.0,100.0,     402,     637,216.0,143.0,37.0,6.0,0.0,394.0,85.0,92.0,37.0,      29,75.2,24.8,415.0,426.0,423.0,"       1,265","       1,172",92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low student group performance; Low participation rate,9.0
Lawrence: Leonard Middle School,01490090,Public School,Lawrence,MA,01841,"06,07,08",Lawrence,01490000,Public School District,       0,       0,       0,       0,       0,       0,       0,     110,     116,     114,       0,       0,       0,       0,       0,     340,     258,  75.9,     121,  35.6,      39,  11.5,     330,  97.1, , ,0.3,0.0,97.1,2.6,0.0,0.0,0.0,51.2,48.8,0.0,      96,27.2,        348,27.0,96.3,  12.6 to 1,37.0,74.1,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          54,17.0,           4,1.0,          50,16.0,         117,37.0,         144,46.0,         315,99.0,475.0,47.0,         302,4.0,          53,17.0,           6,2.0,          47,15.0,         153,48.0,         112,35.0,         318,100.0,479.0,56.0,         305,12.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",17.0
Lawrence: Oliver Elementary School,01490048,Public School,Lawrence,MA,01840,"01,02,03,04,05",Lawrence,01490000,Public School District,       0,       0,      84,      83,      86,     100,     108,       0,       0,       0,       0,       0,       0,       0,       0,     461,     349,  75.7,     211,  45.8,      56,  12.1,     440,  95.4, , ,1.1,0.2,96.3,2.2,0.0,0.0,0.2,47.9,52.1,0.0,     105,22.2,        464,36.7,89.1,  12.5 to 1,61.9,91.8,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          16,6.0,           0,0.0,          16,6.0,         103,39.0,         142,54.0,         261,99.0,470.0,40.0,         177,2.0,           5,2.0,           0,0.0,           5,2.0,          89,34.0,         167,64.0,         261,99.0,464.0,37.0,         177,2.0,Underperforming school; Low student group performance,1.0
Lawrence: Oliver Middle School,01490049,Public School,Lawrence,MA,01840,"06,07,08",Lawrence,01490000,Public School District,       0,       0,       0,       0,       0,       0,       0,     106,     109,      96,       0,       0,       0,       0,       0,     311,     232,  74.6,     121,  38.9,      58,  18.6,     303,  97.4, , ,1.0,1.0,95.8,2.3,0.0,0.0,0.0,55.0,44.4,0.6,      84,28.4,        343,28.0,96.4,  11.1 to 1,53.6,82.1,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          44,15.0,           0,0.0,          44,15.0,         114,40.0,         126,44.0,         284,99.0,474.0,49.0,         265,4.0,          62,22.0,           2,1.0,          60,21.0,         140,49.0,          83,29.0,         285,99.0,481.0,56.0,         265,16.0,Underperforming school,10.0
