School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Accountability Information,Accountability Percentile (1-99)
Southbridge: Eastford Road,02770010,Public School,Southbridge,MA,01550,"PK,K,01",Southbridge,02770000,Public School District,      40,     140,     139,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     319,     105,  32.9,      64,  20.1,      63,  19.7,     288,  90.3, , ,1.6,0.6,66.5,28.2,0.0,0.3,2.8,55.8,44.2,0.0,      90,18.2,        372,25.0,96.0,  12.8 to 1,64.0,88.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Southbridge: Southbridge Academy,02770525,Public School,Southbridge,MA,01550,"06,07,08,09,10,11,12",Southbridge,02770000,Public School District,       0,       0,       0,       0,       0,       0,       0,       2,       3,       8,      11,       9,       2,       7,       0,      42,       8,  19.0,       7,  16.7,      35,  83.3,      42, 100.0, , ,2.4,0.0,57.1,38.1,0.0,0.0,2.4,66.7,33.3,0.0,      47,4.8,         37,12.5,100.0,   3.4 to 1,60.0,68.0,84.6,13.0,38.5,0.0,0.0,0.0,61.5,0.0,      29,6.0,20.7,7.0,2.0,28.6,,,,,,,,,,,,,,,,,,           9,           0,0.0,           0,0.0,           0,0.0,           0,0.0,           2,20.0,           8,80.0,          10,100.0,456.0,,          10,1.0,           0,0.0,           0,0.0,           0,0.0,           0,0.0,          10,100.0,          10,100.0,456.0,,          10,1.0,Insufficient data,
Southbridge: Southbridge High School,02770515,Public School,Southbridge,MA,01550,"09,10,11,12",Southbridge,02770000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     147,     122,      99,      75,       0,     443,     164,  37.0,      98,  22.1,      86,  19.4,     379,  85.6, , ,2.9,1.6,65.5,28.7,0.0,0.2,1.1,54.0,46.0,0.0,     331,17.3,        444,32.6,96.9,  13.6 to 1,56.4,72.4,93.0,111.0,73.9,7.2,0.0,0.0,18.9,0.0,     443,28.0,6.3,105.0,77.0,73.3,      41,      52,30.0,11.0,0.0,0.0,0.0,19.0,13.0,12.0,8.0,       0,61.5,38.5,7.0,,,         175,          93,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low graduation rate; Low student group performance; Low participation rate,3.0
Southbridge: Southbridge Middle School,02770315,Public School,Southbridge,MA,01550,"06,07,08",Southbridge,02770000,Public School District,       0,       0,       0,       0,       0,       0,       0,     127,     129,     151,       0,       0,       0,       0,       0,     407,     158,  38.8,      89,  21.9,      88,  21.6,     369,  90.7, , ,1.5,1.2,59.7,34.2,0.2,0.0,3.2,51.1,48.9,0.0,     181,19.6,        437,34.9,94.3,  11.7 to 1,51.3,85.7,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          48,13.0,           3,1.0,          45,12.0,         146,38.0,         187,49.0,         381,99.0,474.0,45.0,         352,3.0,          42,11.0,           1,0.0,          41,11.0,         172,45.0,         167,44.0,         381,99.0,475.0,50.0,         347,7.0,Low student group performance,2.0
Southbridge: West Street,02770020,Public School,Southbridge,MA,01550,"01,02,03,04,05",Southbridge,02770000,Public School District,       0,       0,       1,      87,      68,      78,      78,       0,       0,       0,       0,       0,       0,       0,       0,     312,     115,  36.9,      58,  18.6,      63,  20.2,     282,  90.4, , ,1.0,1.0,70.5,26.0,0.0,0.0,1.6,49.4,50.6,0.0,     113,15.5,        347,29.0,96.6,  10.8 to 1,65.5,89.7,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          21,10.0,           0,0.0,          21,10.0,         118,56.0,          71,34.0,         210,99.0,477.0,39.0,         139,5.0,          20,9.0,           1,0.0,          19,9.0,          84,40.0,         107,51.0,         211,100.0,472.0,39.0,         139,4.0,Low student group performance,4.0
Southeastern Regional Vocational Technical: Southeastern Regional Vocational Technical,08720605,Public School,South Easton,MA,02375,"09,10,11,12",Southeastern Regional Vocational Technical,08720000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     407,     407,     389,     347,       0,"   1,550",     355,  22.9,      63,   4.1,     221,  14.3,     894,  57.7, , ,37.4,1.2,14.3,42.1,0.0,0.0,5.0,46.9,52.8,0.3,     655,18.3,"      1,534",120.0,94.2,  12.9 to 1,75.8,83.3,92.7,352.0,98.0,1.1,0.0,0.0,0.9,0.0,"   1,550",9.0,0.6,346.0,346.0,100.0,     125,     167,88.0,32.0,5.0,0.0,0.0,55.0,48.0,48.0,12.0,       4,61.7,38.3,107.0,506.0,488.0,         731,         663,90.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",58.0
Southern Berkshire: Mt Everett Regional,07650505,Public School,Sheffield,MA,01257,"06,07,08,09,10,11,12",Southern Berkshire,07650000,Public School District,       0,       0,       0,       0,       0,       0,       0,      46,      44,      34,      49,      30,      52,      49,       0,     304,      20,   6.6,       8,   2.6,      56,  18.4,     166,  54.6, , ,1.6,0.3,9.5,82.9,0.3,0.0,5.3,51.3,48.4,0.3,     286,9.5,        305,42.7,100.0,   7.1 to 1,81.7,89.7,97.9,48.0,93.8,0.0,0.0,2.1,4.2,0.0,     180,1.0,0.6,46.0,15.0,32.6,      30,      51,13.0,14.0,2.0,1.0,0.0,8.0,13.0,17.0,7.0,       6,41.2,58.8,44.0,550.0,512.0,         100,          59,59.0,          41,35.0,           3,3.0,          38,32.0,          51,44.0,          25,21.0,         117,99.0,490.0,51.0,         108,34.0,          21,18.0,           5,4.0,          16,14.0,          73,62.0,          23,20.0,         117,99.0,485.0,43.0,         108,24.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",56.0
Southern Berkshire: New Marlborough Central,07650018,Public School,Sheffield,MA,01257,"PK,K,01,02,03",Southern Berkshire,07650000,Public School District,      11,      14,      13,      11,      17,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      66,       0,   0.0,       0,   0.0,       3,   4.5,      23,  34.8, , ,0.0,0.0,6.1,90.9,0.0,0.0,3.0,54.5,45.5,0.0,      48,13.9,         66,7.2,100.0,   9.2 to 1,95.8,97.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           7,41.0,           2,12.0,           5,29.0,           8,47.0,           2,12.0,          17,100.0,497.0,,,57.0,           6,35.0,           1,6.0,           5,29.0,           8,47.0,           3,18.0,          17,100.0,491.0,,,42.0,Insufficient data,
Southern Berkshire: South Egremont,07650030,Public School,Sheffield,MA,01257,K,Southern Berkshire,07650000,Public School District,       0,      13,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      13,       0,   0.0,       0,   0.0,       0,   0.0,       1,   7.7, , ,0.0,0.0,0.0,100.0,0.0,0.0,0.0,30.8,69.2,0.0,      11,13.0,         13,1.4,100.0,   9.3 to 1,92.9,28.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Southern Berkshire: Undermountain,07650035,Public School,Sheffield,MA,01257,"PK,K,01,02,03,04,05",Southern Berkshire,07650000,Public School District,      34,      30,      40,      33,      31,      35,      47,       0,       0,       0,       0,       0,       0,       0,       0,     250,      21,   8.4,      14,   5.6,      23,   9.2,     142,  56.8, , ,0.4,0.0,11.2,84.0,0.8,0.0,3.6,46.4,53.6,0.0,     151,16.7,        253,24.1,100.0,  10.4 to 1,92.5,99.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          40,37.0,           4,4.0,          36,33.0,          54,50.0,          15,14.0,         109,99.0,494.0,51.0,          75,46.0,          45,41.0,           4,4.0,          41,38.0,          45,41.0,          19,17.0,         109,99.0,495.0,50.0,          75,53.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",41.0
Southern Worcester County Regional Vocational School District: Bay Path Regional Vocational Technical High School,08760605,Public School,Charlton,MA,01507,"09,10,11,12",Southern Worcester County Regional Vocational School District,08760000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     321,     298,     275,     279,       0,"   1,173",      49,   4.2,      12,   1.0,     171,  14.6,     515,  43.9, , ,1.1,1.0,10.7,84.1,0.1,0.0,3.0,57.5,42.3,0.2,"   1,021",13.6,"      1,174",114.0,98.2,  10.3 to 1,84.2,86.8,99.1,278.0,98.2,0.7,0.0,0.0,1.1,0.0,"   1,173",3.0,0.3,275.0,275.0,100.0,     100,     155,61.0,23.0,16.0,0.0,0.0,30.0,48.0,34.0,33.0,      10,50.3,49.7,85.0,533.0,514.0,         553,         262,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",47.0
Southwick-Tolland-Granville Regional School District: Powder Mill School,07660315,Public School,Southwick,MA,01077,"03,04,05,06",Southwick-Tolland-Granville Regional School District,07660000,Public School District,       0,       0,       0,       0,      96,      86,     103,     107,       0,       0,       0,       0,       0,       0,       0,     392,      30,   7.7,      22,   5.6,      74,  18.9,     199,  50.8, , ,1.0,0.8,5.9,89.3,0.3,0.0,2.8,51.0,49.0,0.0,     208,17.8,        398,33.6,100.0,  11.7 to 1,85.1,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         151,40.0,          13,3.0,         138,36.0,         179,47.0,          52,14.0,         382,99.0,494.0,51.0,         266,45.0,         168,44.0,          14,4.0,         154,41.0,         163,43.0,          49,13.0,         380,98.0,496.0,51.0,         264,56.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",40.0
Southwick-Tolland-Granville Regional School District: Southwick Regional School,07660505,Public School,Southwick,MA,01077,"07,08,09,10,11,12",Southwick-Tolland-Granville Regional School District,07660000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     123,     118,     100,     102,      99,     116,       0,     658,      26,   4.0,      12,   1.8,     106,  16.1,     271,  41.2, , ,1.7,1.2,4.7,90.1,0.3,0.0,2.0,47.6,52.3,0.2,     363,14.4,        653,60.6,100.0,  10.9 to 1,95.0,98.3,100.0,115.0,98.3,0.9,0.0,0.0,0.9,0.0,     417,2.0,0.5,112.0,88.0,78.6,      69,      99,43.0,23.0,2.0,1.0,0.0,20.0,28.0,32.0,11.0,       8,48.5,51.5,50.0,550.0,540.0,         209,          68,32.5,          95,41.0,           7,3.0,          88,38.0,         108,47.0,          29,13.0,         232,98.0,494.0,48.0,         222,45.0,          72,31.0,          15,6.0,          57,24.0,         140,59.0,          24,10.0,         236,100.0,494.0,56.0,         225,51.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",58.0
Southwick-Tolland-Granville Regional School District: Woodland School,07660010,Public School,Southwick,MA,01077,"PK,K,01,02",Southwick-Tolland-Granville Regional School District,07660000,Public School District,      43,      85,      94,      87,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     309,      17,   5.5,      13,   4.2,      36,  11.7,     137,  44.3, , ,1.9,1.3,4.5,88.7,0.0,0.0,3.6,52.8,47.2,0.0,     196,14.9,        328,29.8,100.0,  10.4 to 1,90.6,96.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Spencer-E Brookfield: David Prouty High,07670505,Public School,Spencer,MA,01562,"09,10,11,12",Spencer-E Brookfield,07670000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     105,      95,      76,      64,       3,     343,      19,   5.5,      10,   2.9,      57,  16.6,     191,  55.7, , ,3.8,2.3,16.3,72.0,0.6,0.0,5.0,53.9,46.1,0.0,     181,17.1,        330,24.0,95.8,  14.3 to 1,86.7,79.2,82.8,67.0,71.6,7.5,0.0,4.5,16.4,0.0,     340,18.0,5.3,50.0,38.0,76.0,      30,      52,14.0,10.0,6.0,0.0,0.0,11.0,10.0,16.0,11.0,       4,40.4,59.6,16.0,554.0,519.0,         134,          98,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low student group performance,14.0
Spencer-E Brookfield: East Brookfield Elementary,07670008,Public School,East Brookfield,MA,01515,"PK,K,01,02,03,04,05,06",Spencer-E Brookfield,07670000,Public School District,      82,      25,      14,      24,      17,      22,      22,      21,       0,       0,       0,       0,       0,       0,       0,     227,       4,   1.8,       4,   1.8,      45,  19.8,     112,  49.3, , ,2.6,0.0,10.1,83.7,0.0,0.0,3.5,52.4,47.6,0.0,      63,18.6,        241,19.4,100.0,  11.7 to 1,79.4,89.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          37,47.0,           8,10.0,          29,37.0,          31,40.0,          10,13.0,          78,100.0,499.0,62.0,          57,67.0,          36,47.0,           1,1.0,          35,45.0,          33,43.0,           8,10.0,          77,99.0,494.0,60.0,          57,51.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",68.0
Spencer-E Brookfield: Knox Trail Middle School,07670415,Public School,Spencer,MA,01562,"05,06,07,08",Spencer-E Brookfield,07670000,Public School District,       0,       0,       0,       0,       0,       0,     101,      78,      95,     134,       0,       0,       0,       0,       0,     408,      26,   6.4,      14,   3.4,      78,  19.1,     239,  58.6, , ,2.0,1.2,17.4,75.2,0.0,0.0,4.2,54.4,45.3,0.2,     197,18.4,        427,30.0,100.0,  13.6 to 1,96.7,96.7,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          94,25.0,          10,3.0,          84,22.0,         201,52.0,          88,23.0,         383,99.0,486.0,43.0,         367,22.0,          73,19.0,           3,1.0,          70,18.0,         222,58.0,          88,23.0,         383,99.0,484.0,44.0,         367,23.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",14.0
Spencer-E Brookfield: Wire Village School,07670040,Public School,Spencer,MA,01562,"K,01,02,03,04",Spencer-E Brookfield,07670000,Public School District,       0,      85,      75,      88,      81,      88,       0,       0,       0,       0,       0,       0,       0,       0,       0,     417,      33,   7.9,      23,   5.5,      75,  18.0,     270,  64.7, , ,2.6,1.2,19.9,72.9,0.0,0.0,3.4,55.4,44.4,0.2,      92,18.2,        418,33.0,100.0,  12.6 to 1,84.8,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          40,24.0,           1,1.0,          39,23.0,          97,58.0,          29,17.0,         166,99.0,488.0,54.0,          83,28.0,          31,19.0,           1,1.0,          30,18.0,          86,52.0,          49,30.0,         166,100.0,482.0,52.0,          85,18.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",24.0
Springfield: Alfred G. Zanetti Montessori Magnet School,02810095,Public School,Springfield,MA,01104,"PK,K,01,02,03,04,05,06,07,08",Springfield,02810000,Public School District,      72,      29,      37,      45,      36,      38,      46,      27,      35,      31,       0,       0,       0,       0,       0,     396,      44,  11.1,      16,   4.0,      33,   8.3,     207,  52.3, , ,21.5,0.0,56.1,16.7,0.0,0.0,5.8,43.4,56.6,0.0,     198,19.2,        395,29.0,100.0,  13.7 to 1,89.7,96.6,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         109,53.0,          10,5.0,          99,48.0,          88,43.0,          10,5.0,         207,99.0,501.0,51.0,         169,71.0,          82,40.0,          10,5.0,          72,35.0,         110,53.0,          14,7.0,         206,99.0,497.0,48.0,         166,59.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",61.0
