School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Mystic Valley Regional Charter (District): Mystic Valley Regional Charter School,04700105,Charter School,Malden,MA,02148,"K,01,02,03,04,05,06,07,08,09,10,11,12",Mystic Valley Regional Charter (District),04700000,Charter District,,     125,     120,     120,     119,     133,     118,     111,     108,      95,      54,      44,      33,      30,0.0,"   1,210",     142,11.7,       0,0.0,     119,9.8,     224,  18.5, , , , ,10.5,15.5,4.3,1.0,0.0,67.9,0.8,49.4,50.6,77.0,72.7,74.0,83.1,15.7,,,,        31,93.5,0.0,0.0,0.0,6.5,0.0,29.0,24.0,82.8,0.0,27.5724,6.8724,48.2724,6.8724,3.4776,44.8776,75.84479999999999,,,,,,,,,,,,,,,27.0,522.0,511.0
Nahant: Johnson,01960010,Public School,Nahant,MA,01908,"PK,K,01,02,03,04,05,06",Nahant,01960000,Public School District,,      35,      22,      47,      26,      29,      29,      27,,,,,,,0.0,     215,       4,1.9,       1,0.5,      26,12.1,      13,   6.0, , , , ,0.9,2.3,4.7,89.3,0.0,0.0,2.8,55.3,44.7,15.2,100.0,12.0,100.0,14.1,"        $828,528","  $53,111",     15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nantucket: Cyrus Peirce,01970010,Public School,Nantucket,MA,02554,"06,07,08",Nantucket,01970000,Public School District,,,,,,,,      83,     104,      90,,,,,0.0,     277,      27,9.7,       8,2.9,      40,14.4,      23,   8.3, , , , ,10.1,2.2,7.9,78.7,0.7,0.0,0.4,54.2,45.8,27.3,88.6,24.0,86.2,10.1,"      $8,769,757","  $70,781",    123.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nantucket: Nantucket Elementary,01970005,Public School,Nantucket,MA,02554,"PK,K,01,02",Nantucket,01970000,Public School District,      38,     101,     104,     101,      96,      88,      89,,,,,,,,0.0,     617,      64,10.4,      27,4.4,      82,13.3,      52,   8.4, , , , ,10.5,0.6,11.2,74.9,0.0,0.0,2.8,51.9,48.1,55.9,92.3,52.0,73.2,11.0,"      $8,769,757","  $70,781",    123.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nantucket: Nantucket High,01970505,Public School,Nantucket,MA,02554,"09,10,11,12",Nantucket,01970000,Public School District,,,,,,,,,,,     112,     109,      98,      95,0.0,     414,      32,7.7,      20,4.8,      60,14.5,      23,   5.6, , , , ,9.9,0.5,7.2,81.6,0.2,0.0,0.5,51.4,48.6,41.8,84.2,34.0,72.7,9.9,"      $8,769,757","  $70,781",    123.9,       111,86.5,2.7,0.9,1.8,8.1,0.0,95.0,66.0,69.5,0.0,42.117,11.606499999999999,15.776499999999999,7.366999999999999,5.281999999999999,7.366999999999999,57.893499999999996,49.0,      71,33.0,11.0,4.0,1.0,0.0,20.0,19.0,16.0,14.0,2.0,54.9,45.1,78.0,498.0,496.0
Nantucket: Nantucket Intermediate School,01970020,Public School,Nantucket,MA,02554,"03,04,05",Nantucket,01970000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,769,757","  $70,781",    123.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narragansett: Narragansett Middle,07200305,Public School,Baldwinville,MA,01436,"05,06,07",Narragansett,07200000,Public School District,,,,,,,     143,     148,     142,     144,,,,,0.0,     577,       1,0.2,       0,0.0,      86,14.9,      98,  17.0, , , , ,1.2,0.2,1.4,94.8,0.0,0.0,2.4,50.3,49.7,32.8,97.0,27.0,96.3,17.6,"      $5,992,893","  $49,692",    120.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narragansett: Narragansett Regional High,07200505,Public School,Baldwinville,MA,01436,"08,09,10,11,12",Narragansett,07200000,Public School District,,,,,,,,,,,     121,     116,     132,     112,0.0,     481,       0,0.0,       0,0.0,      51,10.6,      98,  20.4, , , , ,0.8,0.6,1.5,97.1,0.0,0.0,0.0,47.4,52.6,34.6,96.5,31.0,98.0,13.9,"      $5,992,893","  $49,692",    120.6,       121,77.7,3.3,0.0,2.5,15.7,0.8,97.0,69.0,71.1,0.0,10.309499999999998,32.990399999999994,27.800099999999997,32.990399999999994,12.3714,13.366799999999998,38.10959999999999,12.0,      16,8.0,4.0,0.0,0.0,0.0,7.0,2.0,4.0,2.0,1.0,56.3,43.8,66.0,509.0,512.0
Narragansett: Templeton Elementary School,07200020,Public School,Templeton,MA,01468,"PK,K,01,02,03,04",Narragansett,07200000,Public School District,       4,      59,      41,      58,,,,,,,,,,,0.0,     162,       0,0.0,       0,0.0,      28,17.3,      29,  17.9, , , , ,1.9,1.2,0.6,96.3,0.0,0.0,0.0,50.6,49.4,8.8,100.0,8.0,100.0,18.4,"      $5,992,893","  $49,692",    120.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashoba: Center School,07250020,Public School,Stow,MA,01775,"PK,K,01,02,03,04,05",Nashoba,07250000,Public School District,,,,,     100,      90,      90,,,,,,,,0.0,     280,       8,2.9,       1,0.4,      34,12.1,       9,   3.2, , , , ,0.4,2.9,2.1,91.4,0.0,0.0,3.2,52.1,47.9,19.9,100.0,17.0,100.0,14.1,"     $15,272,573","  $57,201",    267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashoba: Florence Sawyer School,07250025,Public School,Bolton,MA,01740,"PK,K,01,02,03,04,05,06,07,08",Nashoba,07250000,Public School District,      60,      85,      77,      78,      91,      81,      76,      82,      91,      87,,,,,0.0,     808,       5,0.6,       1,0.1,      95,11.8,      10,   1.2, , , , ,0.7,1.9,0.6,93.6,0.0,0.0,3.2,50.4,49.6,61.0,100.0,52.0,100.0,13.2,"     $15,272,573","  $57,201",    267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashoba: Hale,07250310,Public School,Stow,MA,01775,"06,07,08",Nashoba,07250000,Public School District,,,,,,,,      85,      85,      87,,,,,0.0,     257,       5,1.9,       2,0.8,      39,15.2,       9,   3.5, , , , ,0.4,2.7,1.6,93.4,0.0,0.0,1.9,56.0,44.0,20.2,100.0,18.0,100.0,12.7,"     $15,272,573","  $57,201",    267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashoba: Luther Burbank Middle School,07250305,Public School,Lancaster,MA,01523,"06,07,08",Nashoba,07250000,Public School District,,,,,,,,      69,      87,      78,       3,,,,0.0,     237,      13,5.5,       5,2.1,      38,16.0,      36,  15.2, , , , ,0.8,4.2,6.3,87.3,0.4,0.0,0.8,55.3,44.7,23.4,100.0,19.0,84.4,10.1,"     $15,272,573","  $57,201",    267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashoba: Mary Rowlandson Elementary,07250010,Public School,Lancaster,MA,01523,"PK,K,01,02,03,04,05",Nashoba,07250000,Public School District,      50,      70,      80,      82,      76,      76,      67,,,,,,,,0.0,     501,      29,5.8,       8,1.6,      88,17.6,      63,  12.6, , , , ,2.0,1.8,6.2,86.6,0.2,0.0,3.2,54.3,45.7,46.0,100.0,35.0,100.0,10.9,"     $15,272,573","  $57,201",    267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashoba: Nashoba Regional,07250505,Public School,Bolton,MA,01740,"09,10,11,12",Nashoba,07250000,Public School District,,,,,,,,,,,     234,     219,     230,     219,0.0,     902,      10,1.1,       2,0.2,      61,6.8,      41,   4.5, , , , ,1.0,1.1,4.1,91.6,0.2,0.2,1.8,49.3,50.7,65.1,100.0,54.0,100.0,13.9,"     $15,272,573","  $57,201",    267.0,       222,95.0,1.8,0.0,0.9,2.3,0.0,215.0,186.0,86.5,0.0,33.908,16.262,36.2435,15.829500000000001,10.726,10.726,70.1515,182.0,     246,133.0,35.0,13.0,1.0,0.0,3.0,13.0,56.0,85.0,89.0,6.5,93.5,206.0,550.0,556.0
Nashoba Valley Regional Vocational Technical: Nashoba Valley Technical High School,08520605,Public School,Westford,MA,01886,"09,10,11,12",Nashoba Valley Regional Vocational Technical,08520000,Public School District,,,,,,,,,,,     182,     147,     155,     117,0.0,     601,       0,0.0,       0,0.0,     162,27.0,      97,  16.1, , , , ,0.7,1.2,6.5,90.7,0.0,0.5,0.5,63.9,36.1,47.0,100.0,24.0,100.0,12.8,"      $2,713,010","  $54,260",     50.0,       116,95.7,0.9,0.0,0.0,3.4,0.0,114.0,44.0,38.6,0.0,5.2496,20.1878,13.1626,18.412200000000002,7.913,4.4004,18.4122,,,,,,,,,,,,,,,40.0,457.0,455.0
Natick: Bennett-Hemenway,01980005,Public School,Natick,MA,01760,"K,01,02,03,04",Natick,01980000,Public School District,     125,     108,     112,      86,     113,      88,,,,,,,,,0.0,     632,       5,0.8,       0,0.0,     115,18.2,      24,   3.8, , , , ,2.4,5.9,2.2,87.3,0.0,0.0,2.2,55.7,44.3,46.4,97.8,35.0,94.2,13.6,"     $18,862,405","  $53,816",    350.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick: Brown,01980010,Public School,Natick,MA,01760,"K,01,02,03,04",Natick,01980000,Public School District,,      77,      81,      78,      81,      73,,,,,,,,,0.0,     390,      50,12.8,      23,5.9,      37,9.5,      21,   5.4, , , , ,1.8,13.8,5.4,74.1,0.0,0.3,4.6,52.6,47.4,29.6,100.0,27.0,96.3,13.2,"     $18,862,405","  $53,816",    350.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick: J F Kennedy Middle School,01980305,Public School,Natick,MA,01760,"05,06,07,08",Natick,01980000,Public School District,,,,,,,     130,     135,     116,     124,,,,,0.0,     505,      38,7.5,       5,1.0,      62,12.3,      36,   7.1, , , , ,2.2,5.5,3.6,84.8,0.0,0.0,4.0,55.2,44.8,45.5,100.0,39.0,94.9,11.1,"     $18,862,405","  $53,816",    350.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick: Johnson,01980031,Public School,Natick,MA,01760,"01,02,03,04",Natick,01980000,Public School District,,      42,      45,      41,      50,      42,,,,,,,,,0.0,     220,       3,1.4,       1,0.5,      24,10.9,      30,  13.6, , , , ,0.5,2.7,5.0,89.5,0.5,0.0,1.8,49.5,50.5,15.4,100.0,14.0,96.4,14.3,"     $18,862,405","  $53,816",    350.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick: Lilja Elementary,01980035,Public School,Natick,MA,01760,"K,01,02,03,04",Natick,01980000,Public School District,,      64,      77,      78,      94,      82,,,,,,,,,0.0,     395,       8,2.0,       0,0.0,      30,7.6,      26,   6.6, , , , ,0.8,2.8,2.0,93.7,0.0,0.0,0.8,52.7,47.3,26.0,100.0,24.0,100.0,15.2,"     $18,862,405","  $53,816",    350.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick: Memorial,01980043,Public School,Natick,MA,01760,"K,01,02,03,04",Natick,01980000,Public School District,,      82,      97,      76,      71,      80,,,,,,,,,0.0,     406,       3,0.7,       0,0.0,      28,6.9,       7,   1.7, , , , ,0.0,1.0,2.5,94.8,0.0,0.0,1.7,47.3,52.7,28.6,100.0,27.0,100.0,14.2,"     $18,862,405","  $53,816",    350.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick: Natick High,01980505,Public School,Natick,MA,01760,"PK,09,10,11,12",Natick,01980000,Public School District,,,,,,,,,,,     319,     296,     313,     286,0.0,"   1,214",      85,7.0,       8,0.7,     222,18.3,     116,   9.6, , , , ,4.0,3.9,4.0,85.0,0.3,0.0,2.9,51.4,48.6,92.2,98.9,81.0,93.8,13.2,"     $18,862,405","  $53,816",    350.5,       287,95.1,2.4,0.0,0.7,1.7,0.0,281.0,218.0,77.6,0.0,36.31679999999999,14.588799999999999,26.694399999999995,14.588799999999999,7.139199999999999,12.105599999999999,63.01119999999999,140.0,     294,78.0,25.0,7.0,15.0,15.0,14.0,26.0,47.0,82.0,125.0,13.6,86.4,241.0,529.0,539.0
Natick: Wilson Middle,01980310,Public School,Natick,MA,01760,"05,06,07,08",Natick,01980000,Public School District,,,,,,,     220,     205,     194,     186,,,,,0.0,     805,      38,4.7,       0,0.0,     131,16.3,      89,  11.1, , , , ,4.3,4.1,4.2,85.8,0.1,0.0,1.4,48.9,51.1,63.1,99.7,56.0,96.0,12.8,"     $18,862,405","  $53,816",    350.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauset: Nauset Regional High,06600505,Public School,North Eastham,MA,02651,"09,10,11,12",Nauset,06600000,Public School District,,,,,,,,,,,     273,     253,     268,     275,2.0,"   1,071",      17,1.6,       2,0.2,     135,12.6,      75,   7.0, , , , ,1.4,1.1,2.3,94.8,0.1,0.2,0.1,50.5,49.5,89.8,100.0,74.0,83.1,11.9,"      $8,897,446","  $59,316",    150.0,       295,89.8,5.8,0.0,3.1,1.4,0.0,278.0,214.0,77.0,0.0,28.798,26.642000000000003,21.56,23.715999999999998,6.853000000000001,10.087,50.358,168.0,     271,93.0,53.0,17.0,4.0,1.0,22.0,47.0,69.0,88.0,45.0,25.5,74.5,209.0,531.0,533.0
Nauset: Nauset Regional Middle,06600305,Public School,Orleans,MA,02653,"06,07,08",Nauset,06600000,Public School District,      69,,,,,,,     139,     191,     192,,,,,0.0,     591,       4,0.7,       0,0.0,     130,22.0,      96,  16.2, , , , ,1.5,1.0,1.5,95.4,0.0,0.0,0.5,55.3,44.7,49.9,99.0,41.0,98.7,11.8,"      $8,897,446","  $59,316",    150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needham: Broadmeadow,01990005,Public School,Needham,MA,02492,"K,01,02,03,04,05",Needham,01990000,Public School District,,     101,      99,     116,     101,      92,      73,,,,,,,,0.0,     582,      17,2.9,       2,0.3,      45,7.7,      13,   2.2, , , , ,2.9,4.3,3.4,86.9,0.0,0.0,2.4,53.1,46.9,36.7,99.5,34.0,99.4,15.8,"     $22,889,937","  $63,324",    361.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needham: High Rock School,01990410,Public School,Needham,MA,02492,6,Needham,01990000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $22,889,937","  $63,324",    361.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needham: John Eliot,01990020,Public School,Needham,MA,02494,"K,01,02,03,04,05",Needham,01990000,Public School District,,      79,      59,      59,      56,      65,      55,,,,,,,,0.0,     373,      35,9.4,      14,3.8,      40,10.7,      19,   5.1, , , , ,5.1,13.1,1.1,78.6,0.3,0.0,1.9,52.0,48.0,26.8,96.3,24.0,95.8,13.9,"     $22,889,937","  $63,324",    361.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needham: Needham High,01990505,Public School,Needham,MA,02494,"09,10,11,12",Needham,01990000,Public School District,,,,,,,,,,,     384,     333,     368,     339,0.0,"   1,424",      79,5.5,      10,0.7,     152,10.7,      46,   3.2, , , , ,2.4,3.0,3.1,88.7,0.0,0.1,2.7,51.8,48.2,99.9,98.8,91.0,98.7,14.3,"     $22,889,937","  $63,324",    361.5,       341,96.2,1.2,0.9,0.0,1.8,0.0,329.0,292.0,88.8,0.0,55.322399999999995,4.2623999999999995,29.2152,3.9959999999999996,2.3976,13.0536,84.5376,228.0,     396,136.0,44.0,30.0,10.0,8.0,6.0,23.0,66.0,122.0,179.0,7.3,92.7,331.0,576.0,578.0
Needham: Newman Elementary,01990050,Public School,Needham,MA,02492,"PK,K,01,02,03,04,05",Needham,01990000,Public School District,      20,     116,     130,     112,     124,     108,     114,,,,,,,,0.0,     724,      22,3.0,       2,0.3,      92,12.7,      18,   2.5, , , , ,1.4,5.2,2.8,89.5,0.0,0.4,0.7,49.6,50.4,52.6,100.0,47.0,100.0,13.8,"     $22,889,937","  $63,324",    361.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needham: Pollard Middle,01990405,Public School,Needham,MA,02492,"07,08",Needham,01990000,Public School District,,,,,,,,     361,     368,     336,,,,,0.0,"   1,065",      59,5.5,       3,0.3,     150,14.1,      40,   3.8, , , , ,2.2,4.6,2.7,88.0,0.1,0.0,2.4,51.5,48.5,82.8,98.8,73.0,98.6,12.9,"     $22,889,937","  $63,324",    361.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needham: Sunita L. Williams Elementary,01990035,Public School,Needham,MA,02494,"K,01,02,03,04,05",Needham,01990000,Public School District,,      87,      55,      61,      67,      72,      53,,,,,,,,0.0,     395,      41,10.4,      14,3.5,      25,6.3,      15,   3.8, , , , ,6.6,7.6,3.3,77.5,0.0,0.0,5.1,52.7,47.3,26.1,100.0,24.0,100.0,15.1,"     $22,889,937","  $63,324",    361.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needham: William Mitchell,01990040,Public School,Needham,MA,02492,"K,01,02,03,04,05",Needham,01990000,Public School District,,      72,      79,      81,      66,      70,      64,,,,,,,,0.0,     432,      11,2.5,       4,0.9,      32,7.4,      12,   2.8, , , , ,2.3,4.9,3.9,86.1,0.2,0.9,1.6,49.1,50.9,27.2,100.0,25.0,100.0,15.9,"     $22,889,937","  $63,324",    361.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neighborhood House Charter (District): Neighborhood House Charter School,04440205,Charter School,Dorchester,MA,02122,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",Neighborhood House Charter (District),04440000,Charter District,      40,      41,      41,      41,      40,      39,      40,      40,      40,      22,,,,,0.0,     384,      23,6.0,       8,2.1,      53,13.8,     276,  71.9, , , , ,55.5,4.4,13.5,24.0,1.6,0.3,0.8,49.2,50.8,36.8,86.4,34.0,85.2,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Abraham Lincoln,02010095,Public School,New Bedford,MA,02745,"K,01,02,03,04,05",New Bedford,02010000,Public School District,,      51,      33,      42,      41,      33,      44,,,,,,,,0.0,     244,      25,10.2,       1,0.4,      45,18.4,     155,  63.5, , , , ,8.2,0.8,14.3,69.3,0.8,0.4,6.1,54.1,45.9,17.5,88.6,15.0,86.4,13.9,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Alfred J Gomes,02010063,Public School,New Bedford,MA,02740,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,     252,      66,      72,      84,      94,      80,      61,,,,,,,,0.0,     709,     242,34.1,      86,12.1,     216,30.5,     601,  84.8, , , , ,16.6,1.0,45.6,32.0,0.4,0.7,3.7,56.6,43.4,55.6,96.4,44.0,100.0,12.8,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Betsey B Winslow,02010140,Public School,New Bedford,MA,02740,"K,01,02,03,04,05",New Bedford,02010000,Public School District,,      39,      38,      49,      42,      37,      32,      31,,,,,,,0.0,     268,      19,7.1,      10,3.7,      14,5.2,     107,  39.9, , , , ,7.5,2.2,3.4,83.2,0.7,0.0,3.0,54.5,45.5,19.3,100.0,17.0,100.0,13.9,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Carlos Pacheco,02010105,Public School,New Bedford,MA,02746,"PK,K,01,02,03,04,05,06",New Bedford,02010000,Public School District,      18,      63,      50,      54,      43,      48,      48,      36,,,,,,,0.0,     360,     144,40.0,      14,3.9,      64,17.8,     342,  95.0, , , , ,14.2,0.6,58.6,21.9,0.6,0.8,3.3,51.4,48.6,24.1,95.9,21.0,100.0,14.9,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Casimir Pulaski,02010123,Public School,New Bedford,MA,02745,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,      50,      62,      77,     100,     102,      93,     103,,,,,,,,0.0,     587,      71,12.1,      29,4.9,     164,27.9,     221,  37.6, , , , ,5.8,1.7,14.7,71.6,0.2,0.2,6.0,54.5,45.5,46.9,100.0,44.0,100.0,12.5,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Charles S Ashley,02010010,Public School,New Bedford,MA,02745,"K,01,02,03,04,05",New Bedford,02010000,Public School District,,      55,      47,      57,      52,      58,      44,,,,,,,,0.0,     313,      19,6.1,       2,0.6,      35,11.2,     144,  46.0, , , , ,1.9,0.6,9.6,84.3,0.0,0.3,3.2,55.3,44.7,19.6,100.0,17.0,100.0,16.0,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Elizabeth Carter Brooks,02010015,Public School,New Bedford,MA,02740,"K,01,02,03,04,05",New Bedford,02010000,Public School District,,      44,      36,      41,      56,      42,      40,      50,,,,,,,0.0,     309,      53,17.2,       2,0.6,      33,10.7,     186,  60.2, , , , ,11.3,1.3,31.1,49.8,0.3,0.3,5.8,52.1,47.9,18.6,100.0,16.0,100.0,16.6,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Ellen R Hathaway,02010075,Public School,New Bedford,MA,02740,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,,      40,      29,      51,      39,      56,      47,      44,,,,,,,0.0,     306,      48,15.7,       6,2.0,      57,18.6,     219,  71.6, , , , ,18.3,0.7,22.9,47.4,0.3,0.0,10.5,51.3,48.7,20.4,100.0,18.0,100.0,15.0,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Elwyn G Campbell,02010020,Public School,New Bedford,MA,02745,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,      37,      43,      34,      39,      26,      29,      33,,,,,,,,0.0,     241,      52,21.6,       2,0.8,      55,22.8,     176,  73.0, , , , ,4.6,0.4,37.3,51.5,0.4,0.0,5.8,51.9,48.1,20.0,95.0,17.0,94.0,12.1,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Hayden/McFadden,02010078,Public School,New Bedford,MA,02746,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,      35,     107,      96,      86,      90,      85,      93,      58,,,,,,,0.0,     650,     184,28.3,      45,6.9,     153,23.5,     596,  91.7, , , , ,12.2,0.6,47.2,37.1,0.3,0.5,2.2,52.2,47.8,49.4,93.9,41.0,92.6,13.2,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Irwin M. Jacobs Elementary School,02010070,Public School,New Bedford,MA,02744,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,,      43,      42,      38,      40,      40,      38,,,,,,,,0.0,     241,      65,27.0,       6,2.5,      34,14.1,     200,  83.0, , , , ,12.0,1.2,43.2,40.2,0.0,0.8,2.5,50.2,49.8,17.2,100.0,16.0,100.0,14.0,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: James B Congdon,02010040,Public School,New Bedford,MA,02740,"K,01,02,03,04,05,06",New Bedford,02010000,Public School District,,      57,      46,      46,      51,      38,      40,,,,,,,,0.0,     278,      66,23.7,      27,9.7,      46,16.5,     206,  74.1, , , , ,6.8,0.7,26.6,59.7,0.0,0.4,5.8,53.2,46.8,19.4,100.0,17.0,100.0,14.3,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Jireh Swift,02010130,Public School,New Bedford,MA,02745,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,,      37,      40,      39,      43,      38,      27,,,,,,,,0.0,     224,      27,12.1,       3,1.3,      38,17.0,     115,  51.3, , , , ,1.8,0.9,11.6,76.3,0.0,0.0,9.4,54.5,45.5,16.1,100.0,14.0,100.0,13.9,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: John Avery Parker,02010115,Public School,New Bedford,MA,02740,"PK,K,01,02,03,04,05",New Bedford,02010000,Public School District,      31,      53,      63,      66,      63,      74,      70,      57,,,,,,,0.0,     477,      68,14.3,       5,1.0,      71,14.9,     387,  81.1, , , , ,13.6,0.8,28.5,48.6,0.8,0.4,7.1,49.7,50.3,28.2,96.5,27.0,96.3,16.9,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: John B Devalles,02010050,Public School,New Bedford,MA,02744,"K,01,02,03,04,05",New Bedford,02010000,Public School District,,      55,      64,      61,      63,      46,      53,,,,,,,,0.0,     342,     121,35.4,      44,12.9,      66,19.3,     264,  77.2, , , , ,11.7,1.2,21.3,60.5,0.3,0.0,5.0,55.8,44.2,24.4,100.0,22.0,100.0,14.0,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: Keith Middle School,02010405,Public School,New Bedford,MA,02740,"06,07,08",New Bedford,02010000,Public School District,,,,,,,,,     348,     313,,,,,0.0,     661,      94,14.2,       4,0.6,     114,17.2,     454,  68.7, , , , ,19.1,0.5,21.8,46.6,1.2,0.6,10.3,52.8,47.2,60.3,100.0,50.0,100.0,11.0,"     $57,557,154","  $58,493",    984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford: New Bedford High,02010505,Public School,New Bedford,MA,02740,"09,10,11,12",New Bedford,02010000,Public School District,,,,,,,,,,,"   1,000",     631,     924,     551,0.0,"   3,106",     672,21.6,     132,4.2,     475,15.3,"   1,705",  54.9, , , , ,15.8,1.2,19.8,56.1,0.6,0.6,5.8,48.6,51.4,214.4,87.9,166.0,86.1,14.5,"     $57,557,154","  $58,493",    984.0,       831,60.2,14.4,2.8,2.9,19.7,0.0,537.0,371.0,69.1,0.5528,9.328499999999998,29.7821,29.4366,29.022,7.8083,18.795199999999998,38.7651,168.0,     208,133.0,30.0,5.0,0.0,0.0,41.0,62.0,52.0,35.0,18.0,49.5,50.5,349.0,451.0,465.0
