School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,,,,,,,,,,,     395,     355,     277,     276,0.0,"   1,303",      31,2.4,       4,0.3,     127,9.7,     132,  10.1, , , , ,0.8,0.6,3.4,93.5,0.0,0.9,0.8,49.2,50.8,92.5,92.3,71.0,91.5,14.1,"     $17,891,573","  $52,147",    343.1,       299,83.9,2.3,0.7,4.7,8.4,0.0,265.0,210.0,79.2,0.0,24.156,35.0856,19.958399999999997,34.2936,10.216800000000001,8.712,44.114399999999996,44.0,      54,36.0,6.0,2.0,0.0,0.0,4.0,10.0,15.0,16.0,9.0,25.9,74.1,204.0,477.0,503.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,,,,,,,,,     344,     353,,,,,0.0,     697,      11,1.6,       3,0.4,     114,16.4,     132,  18.9, , , , ,1.0,0.7,0.3,97.7,0.0,0.0,0.3,52.8,47.2,60.9,100.0,50.0,100.0,11.4,"     $17,891,573","  $52,147",    343.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,,      68,      74,      74,      82,      92,,,,,,,,,0.0,     390,       9,2.3,       9,2.3,      37,9.5,      60,  15.4, , , , ,1.0,2.3,0.5,95.9,0.0,0.0,0.3,50.0,50.0,29.9,100.0,28.0,100.0,13.0,"     $17,891,573","  $52,147",    343.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,,      63,      66,      78,      77,      86,,,,,,,,,0.0,     370,      11,3.0,      11,3.0,      42,11.4,      94,  25.4, , , , ,0.5,1.9,7.6,86.8,0.3,0.0,3.0,58.1,41.9,28.4,100.0,26.0,100.0,13.0,"     $17,891,573","  $52,147",    343.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,,      66,      70,      83,      85,      72,,,,,,,,,0.0,     376,      16,4.3,      15,4.0,      51,13.6,      65,  17.3, , , , ,0.5,0.3,1.3,95.7,0.8,1.3,0.0,52.4,47.6,29.2,100.0,27.0,100.0,12.9,"     $17,891,573","  $52,147",    343.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,,,,,,,     347,     363,,,,,,,0.0,     710,      24,3.4,      20,2.8,     108,15.2,     128,  18.0, , , , ,1.0,0.7,1.1,96.8,0.3,0.0,0.1,48.9,51.1,51.0,100.0,46.0,100.0,13.9,"     $17,891,573","  $52,147",    343.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,,      80,      78,      84,      85,      82,,,,,,,,,0.0,     409,      16,3.9,      16,3.9,      37,9.0,     100,  24.4, , , , ,2.0,1.0,2.2,94.6,0.0,0.0,0.2,49.4,50.6,30.7,100.0,29.0,100.0,13.3,"     $17,891,573","  $52,147",    343.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      48,      82,      69,      85,      76,      83,,,,,,,,,0.0,     443,       2,0.5,       2,0.5,      99,22.3,      57,  12.9, , , , ,0.5,0.5,3.8,92.6,0.5,0.0,2.3,55.5,44.5,34.1,100.0,30.0,96.6,13.0,"     $10,916,809","  $54,914",    198.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,     186,     175,     180,     166,2.0,     709,       7,1.0,       0,0.0,      87,12.3,     103,  14.5, , , , ,1.0,0.1,3.2,92.4,1.1,0.1,2.0,46.8,53.2,54.0,100.0,46.0,100.0,13.1,"     $10,916,809","  $54,914",    198.8,       165,85.5,3.6,0.0,0.6,10.3,0.0,150.0,132.0,88.0,0.7040000000000001,20.68,34.672,32.032,33.352,5.984,15.311999999999998,52.711999999999996,76.0,     102,51.0,24.0,1.0,0.0,0.0,1.0,25.0,33.0,38.0,5.0,25.5,74.5,124.0,491.0,501.0
