School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type
Berkley: Berkley Middle School,00270305,Public School,Berkley,MA,02779,"05,06,07,08",Berkley,00270000,Public School District
Berkshire Arts and Technology Charter Public (District): Berkshire Arts and Technology Charter Public School,04140305,Charter School,Adams,MA,01220,"06,07,08,09,10,11,12",Berkshire Arts and Technology Charter Public (District),04140000,Charter District
Berkshire Hills: Monument Mt Regional High,06180505,Public School,Great Barrington,MA,01230,"09,10,11,12",Berkshire Hills,06180000,Public School District
Berkshire Hills: Muddy Brook Regional Elementary School,06180035,Public School,Great Barrington,MA,01230,"PK,K,01,02,03,04",Berkshire Hills,06180000,Public School District
Berkshire Hills: W.E.B. Du Bois Regional Middle School,06180310,Public School,Great Barrington,MA,01230,"05,06,07,08",Berkshire Hills,06180000,Public School District
Berlin-Boylston: Berlin Memorial School,06200005,Public School,Berlin,MA,01503,"PK,K,01,02,03,04,05",Berlin-Boylston,06200000,Public School District
Berlin-Boylston: Boylston Elementary School,06200010,Public School,Boylston,MA,01505,"PK,K,01,02,03,04,05",Berlin-Boylston,06200000,Public School District
Berlin-Boylston: Tahanto Regional High,06200505,Public School,Boylston,MA,01505,"06,07,08,09,10,11,12",Berlin-Boylston,06200000,Public School District
Beverly: Ayers/Ryal Side School,00300055,Public School,Beverly,MA,01915,"K,01,02,03,04",Beverly,00300000,Public School District
Beverly: Beverly High,00300505,Public School,Beverly,MA,01915,"09,10,11,12",Beverly,00300000,Public School District
Beverly: Beverly Middle School,00300305,Public School,Beverly,MA,01915,"05,06,07,08",Beverly,00300000,Public School District
Beverly: Centerville Elementary,00300010,Public School,Beverly,MA,01915,"K,01,02,03,04",Beverly,00300000,Public School District
Beverly: Cove Elementary,00300015,Public School,Beverly,MA,01915,"K,01,02,03,04",Beverly,00300000,Public School District
Beverly: Hannah Elementary,00300033,Public School,Beverly,MA,01915,"K,01,02,03,04",Beverly,00300000,Public School District
Beverly: McKeown School,00300002,Public School,Beverly,MA,01915,PK,Beverly,00300000,Public School District
Beverly: North Beverly Elementary,00300040,Public School,Beverly,MA,01915,"K,01,02,03,04",Beverly,00300000,Public School District
Billerica: Billerica Memorial High School,00310505,Public School,Billerica,MA,01821,"PK,08,09,10,11,12",Billerica,00310000,Public School District
Billerica: Frederick J Dutile,00310007,Public School,North Billerica,MA,01862,"K,01,02,03,04",Billerica,00310000,Public School District
Billerica: Hajjar Elementary,00310026,Public School,Billerica,MA,01862,"K,01,02,03,04",Billerica,00310000,Public School District
Billerica: John F Kennedy,00310012,Public School,Billerica,MA,01821,"K,01,02,03,04",Billerica,00310000,Public School District
Billerica: Locke Middle,00310310,Public School,Billerica,MA,01821,"05,06,07",Billerica,00310000,Public School District
Billerica: Marshall Middle School,00310305,Public School,Billerica,MA,01821,"05,06,07",Billerica,00310000,Public School District
Billerica: Parker,00310015,Public School,Billerica,MA,01821,"K,01,02,03,04",Billerica,00310000,Public School District
Billerica: Thomas Ditson,00310005,Public School,Billerica,MA,01821,"K,01,02,03,04",Billerica,00310000,Public School District
Blackstone Valley Regional Vocational Technical: Blackstone Valley,08050605,Public School,Upton,MA,01568,"09,10,11,12",Blackstone Valley Regional Vocational Technical,08050000,Public School District
Blackstone-Millville: A F Maloney,06220015,Public School,Blackstone,MA,01504,"04,05",Blackstone-Millville,06220000,Public School District
Blackstone-Millville: Blackstone Millville RHS,06220505,Public School,Blackstone,MA,01504,"09,10,11,12",Blackstone-Millville,06220000,Public School District
Blackstone-Millville: Frederick W. Hartnett Middle School,06220405,Public School,Blackstone,MA,01504,"06,07,08",Blackstone-Millville,06220000,Public School District
Blackstone-Millville: John F Kennedy Elementary,06220008,Public School,Blackstone,MA,01504,3,Blackstone-Millville,06220000,Public School District
Blackstone-Millville: Millville Elementary,06220010,Public School,Millville,MA,01529,"PK,K,01,02",Blackstone-Millville,06220000,Public School District
Blue Hills Regional Vocational Technical: Blue Hills Regional Vocational Technical,08060605,Public School,Canton,MA,02021,"09,10,11,12",Blue Hills Regional Vocational Technical,08060000,Public School District
Boston: Adams Elementary School,00350302,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Alighieri Dante Montessori School,00350066,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Another Course To College,00350541,Public School,Hyde Park,MA,02136,"09,10,11,12",Boston,00350000,Public School District
Boston: Baldwin Early Learning Pilot Academy,00350003,Public School,Brighton,MA,02135,"PK,K,01",Boston,00350000,Public School District
Boston: Bates Elementary School,00350278,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Beethoven Elementary School,00350021,Public School,West Roxbury,MA,02132,"PK,K,01,02",Boston,00350000,Public School District
Boston: Blackstone Elementary School,00350390,Public School,Boston,MA,02118,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Boston Adult Tech Academy,00350548,Public School,Back Bay,MA,02116,"11,12",Boston,00350000,Public School District
Boston: Boston Arts Academy,00350546,Public School,Boston,MA,02215,"09,10,11,12",Boston,00350000,Public School District
Boston: Boston Collaborative High School,00350755,Public School,South Boston,MA,02127,"09,10,11,12",Boston,00350000,Public School District
Boston: Boston Community Leadership Academy,00350558,Public School,Hyde Park,MA,02136,"07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Boston International High School & Newcomers Academy,00350507,Public School,Dorchester,MA,02124,"09,10,11,12",Boston,00350000,Public School District
Boston: Boston Latin Academy,00350545,Public School,Dorchester,MA,02121,"07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Boston Latin School,00350560,Public School,Boston,MA,02115,"07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Boston Teachers Union K-8 Pilot,00350012,Public School,Jamaica Plain,MA,02130,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District
Boston: Bradley Elementary School,00350215,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Brighton High School,00350505,Public School,Brighton,MA,02135,"07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Burke High School,00350525,Public School,Dorchester,MA,02121,"07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Carter School,00350036,Public School,Dorchester,MA,02121,"07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Channing Elementary School,00350360,Public School,Hyde Park,MA,02136,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Charlestown High School,00350515,Public School,Charlestown,MA,02129,"07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Chittick Elementary School,00350154,Public School,Mattapan,MA,02126,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Clap Elementary School,00350298,Public School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Community Academy,00350518,Public School,Jamaica Plain,MA,02130,"09,10,11,12",Boston,00350000,Public School District
Boston: Community Academy of Science and Health,00350581,Public School,Dorchester,MA,02122,"09,10,11,12",Boston,00350000,Public School District
Boston: Condon K-8 School,00350146,Public School,South Boston,MA,02127,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District
Boston: Conley Elementary School,00350122,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Curley K-8 School,00350020,Public School,Jamaica Plain,MA,02130,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District
Boston: Dearborn 6-12 STEM Academy,00350074,Public School,Roxbury,MA,02119,"06,07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Dever Elementary School,00350268,Public School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: East Boston Early Education Center,00350009,Public School,East Boston,MA,02128,"PK,K,01",Boston,00350000,Public School District
Boston: East Boston High School,00350530,Public School,East Boston,MA,02128,"07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Edison K-8 School,00350375,Public School,Brighton,MA,02135,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District
Boston: Eliot K-8 Innovation School,00350096,Public School,Boston,MA,02113,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District
Boston: Ellis Elementary School,00350072,Public School,Roxbury,MA,02119,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Ellison-Parks Early Education School,00350008,Public School,Mattapan,MA,02126,"PK,K,01,02,03",Boston,00350000,Public School District
Boston: English High School,00350535,Public School,Jamaica Plain,MA,02130,"07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Everett Elementary School,00350088,Public School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Excel High School,00350522,Public School,South Boston,MA,02127,"09,10,11,12",Boston,00350000,Public School District
Boston: Fenway High School,00350540,Public School,Roxbury,MA,02120,"09,10,11,12",Boston,00350000,Public School District
Boston: Frederick Pilot Middle School,00350383,Public School,Dorchester,MA,02121,"06,07,08",Boston,00350000,Public School District
Boston: Gardner Pilot Academy,00350326,Public School,Allston,MA,02134,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District
Boston: Greater Egleston High School,00350543,Public School,Roxbury,MA,02119,"09,10,11,12",Boston,00350000,Public School District
Boston: Greenwood Sarah K-8 School,00350308,Public School,Dorchester,MA,02121,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District
Boston: Grew Elementary School,00350135,Public School,Hyde Park,MA,02136,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Guild Elementary School,00350062,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Hale Elementary School,00350243,Public School,Roxbury,MA,02119,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Haley Pilot School,00350077,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District
Boston: Harvard-Kent Elementary School,00350200,Public School,Charlestown,MA,02129,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District
Boston: Haynes Early Education Center,00350010,Public School,Roxbury,MA,02119,"PK,K,01",Boston,00350000,Public School District
Boston: Henderson K-12 Inclusion School Lower,00350266,Public School,Dorchester,MA,02122,"PK,K,01",Boston,00350000,Public School District
Boston: Henderson K-12 Inclusion School Upper,00350426,Public School,Dorchester,MA,02124,"02,03,04,05,06,07,08,09,10,11,12",Boston,00350000,Public School District
Boston: Hennigan K-8 School,00350153,Public School,Jamaica Plain,MA,02130,"K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District
Boston: Hernandez K-8 School,00350691,Public School,Roxbury,MA,02119,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District
Boston: Higginson Inclusion K0-2 School,00350015,Public School,Roxbury,MA,02119,"PK,K,01,02",Boston,00350000,Public School District
